country,countryLabel,count
http://www.wikidata.org/entity/Q159,Russia,307
http://www.wikidata.org/entity/Q96,Mexico,166
http://www.wikidata.org/entity/Q17,Japan,127
http://www.wikidata.org/entity/Q298,Chile,102
http://www.wikidata.org/entity/Q142,France,86
http://www.wikidata.org/entity/Q30,United States,79
http://www.wikidata.org/entity/Q414,Argentina,70
http://www.wikidata.org/entity/Q189,Iceland,60
http://www.wikidata.org/entity/Q183,Germany,55
http://www.wikidata.org/entity/Q858,Syria,52
http://www.wikidata.org/entity/Q252,Indonesia,44
http://www.wikidata.org/entity/Q664,New Zealand,36
http://www.wikidata.org/entity/Q691,Papua New Guinea,32
http://www.wikidata.org/entity/Q774,Guatemala,29
http://www.wikidata.org/entity/Q29,Spain,27
http://www.wikidata.org/entity/Q736,Ecuador,24
http://www.wikidata.org/entity/Q115,Ethiopia,19
http://www.wikidata.org/entity/Q801,Israel,19
http://www.wikidata.org/entity/Q419,Peru,18
http://www.wikidata.org/entity/Q38,Italy,17
http://www.wikidata.org/entity/Q811,Nicaragua,17
http://www.wikidata.org/entity/Q686,Vanuatu,17
http://www.wikidata.org/entity/Q928,Philippines,16
http://www.wikidata.org/entity/Q750,Bolivia,16
http://www.wikidata.org/entity/Q739,Colombia,14
http://www.wikidata.org/entity/Q792,El Salvador,13
http://www.wikidata.org/entity/Q805,Yemen,11
http://www.wikidata.org/entity/Q45,Portugal,11
http://www.wikidata.org/entity/Q986,Eritrea,10
http://www.wikidata.org/entity/Q148,People's Republic of China,9
http://www.wikidata.org/entity/Q114,Kenya,9
http://www.wikidata.org/entity/Q43,Turkey,9
http://www.wikidata.org/entity/Q1009,Cameroon,9
http://www.wikidata.org/entity/Q16,Canada,8
http://www.wikidata.org/entity/Q41,Greece,8
http://www.wikidata.org/entity/Q800,Costa Rica,8
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,7
http://www.wikidata.org/entity/Q145,United Kingdom,7
http://www.wikidata.org/entity/Q783,Honduras,6
http://www.wikidata.org/entity/Q20,Norway,5
http://www.wikidata.org/entity/Q851,Saudi Arabia,5
http://www.wikidata.org/entity/Q1019,Madagascar,5
http://www.wikidata.org/entity/Q784,Dominica,5
http://www.wikidata.org/entity/Q399,Armenia,5
http://www.wikidata.org/entity/Q685,Solomon Islands,4
http://www.wikidata.org/entity/Q711,Mongolia,4
http://www.wikidata.org/entity/Q683,Samoa,4
http://www.wikidata.org/entity/Q230,Georgia,4
http://www.wikidata.org/entity/Q977,Djibouti,3
http://www.wikidata.org/entity/Q881,Vietnam,3
http://www.wikidata.org/entity/Q924,Tanzania,3
http://www.wikidata.org/entity/Q408,Australia,3
http://www.wikidata.org/entity/Q35086,South Georgia and the South Sandwich Islands,3
http://www.wikidata.org/entity/Q227,Azerbaijan,3
http://www.wikidata.org/entity/Q218,Romania,2
http://www.wikidata.org/entity/Q1036,Uganda,2
http://www.wikidata.org/entity/Q678,Tonga,2
http://www.wikidata.org/entity/Q155,Brazil,2
http://www.wikidata.org/entity/Q717,Venezuela,2
http://www.wikidata.org/entity/Q983,Equatorial Guinea,2
http://www.wikidata.org/entity/Q34,Sweden,2
http://www.wikidata.org/entity/Q884,South Korea,2
http://www.wikidata.org/entity/Q865,Taiwan,2
http://www.wikidata.org/entity/Q262,Algeria,2
http://www.wikidata.org/entity/Q423,North Korea,2
http://www.wikidata.org/entity/Q36,Poland,1
http://www.wikidata.org/entity/Q1555,Guatemala City,1
http://www.wikidata.org/entity/Q794,Iran,1
http://www.wikidata.org/entity/Q55,Netherlands,1
http://www.wikidata.org/entity/Q224,Croatia,1
http://www.wikidata.org/entity/Q1011,Cape Verde,1
http://www.wikidata.org/entity/Q760,Saint Lucia,1
http://www.wikidata.org/entity/Q657,Chad,1
http://www.wikidata.org/entity/Q1033,Nigeria,1
http://www.wikidata.org/entity/Q192184,"Saint Helena, Ascension and Tristan da Cunha",1
http://www.wikidata.org/entity/Q869,Thailand,1
http://www.wikidata.org/entity/Q212,Ukraine,1
http://www.wikidata.org/entity/Q258,South Africa,1
http://www.wikidata.org/entity/Q843,Pakistan,1
http://www.wikidata.org/entity/Q836,Myanmar,1
http://www.wikidata.org/entity/Q1029,Mozambique,1
http://www.wikidata.org/entity/Q712,Fiji,1
http://www.wikidata.org/entity/Q833,Malaysia,1
http://www.wikidata.org/entity/Q213,Czech Republic,1
http://www.wikidata.org/entity/Q1049,Sudan,1
http://www.wikidata.org/entity/Q912,Mali,1
